,property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
0,237062,3325,https://www.zameen.com/Property/g_10_g_10_2_ground_floor_corner_apartment_with_green_lawn_for_sale-237062-3325-1.html,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,For Sale,2,2/4/2019,,,1089.004
1,346905,3236,https://www.zameen.com/Property/e_11_2_services_society_flat_available_for_sale-346905-3236-1.html,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,5/4/2019,,,15246.055999999999
2,386513,764,https://www.zameen.com/Property/islamabad_g_15_house_is_available_for_sale-386513-764-1.html,House,16500000,G-15,Islamabad,Islamabad Capital,33.631486,72.926559,6,For Sale,5,7/17/2019,,,2178.008
3,656161,340,https://www.zameen.com/Property/islamabad_bani_gala_a_rare_minimalist_concept_in_a_quiet_location-656161-340-1.html,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.70757294,73.15119934,4,For Sale,4,4/5/2019,,,10890.0
4,841645,3226,https://www.zameen.com/Property/dha_valley_dha_homes_islamabad_dha_valley_8_marla_home_for_sale-841645-3226-1.html,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/10/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008
5,850762,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_house_is_available_for_sale_in_ghauri_town_phase_1-850762-3390-1.html,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,8,For Sale,8,4/5/2019,,,87120.0
6,937975,445,https://www.zameen.com/Property/islamabad_korang_town_1_kanal_double_storey_corner_house__for_sale-937975-445-1.html,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,8,For Sale,8,1/4/2019,,,5445.0
7,1258636,3241,https://www.zameen.com/Property/e_11_e_11_4_apartment_for_sale_in_e_11_4-1258636-3241-1.html,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,5/5/2019,Ettemad Enterprises,Balqiaz Marwat,16879.561999999998
8,1402466,376,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_one_kanal_with_basement_house_for_sale-1402466-376-1.html,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,10/19/2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0
9,1418706,3282,https://www.zameen.com/Property/f_11_f_11_1_f_11_1_penthouse_for_sale_in_executive_suites-1418706-3282-1.html,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679211,72.988787,5,For Sale,5,6/27/2019,Crown Associate,Abrar Ahmed,5445.0
